TV,Radio,Newspaper,Sales
161.2,37.5,3.4,22.4
76.3,40.3,4.1,14.6
32.5,49.5,3.7,14.8
269.7,20.6,25.6,23.9
270.6,18.6,5.0,19.7
191.8,38.8,10.6,25.7
105.0,17.0,56.8,12.4
108.0,46.5,16.1,22.1
219.2,42.9,27.5,32.0
269.6,21.4,4.7,26.1
266.7,37.5,5.3,30.8
235.1,37.7,1.0,27.2
